NAISTYP_SORT;E_001_025_n_nne;E_026_050_nne_ne;E_051_075_ne_ene;E_076_100_ene_e;E_101_125_e_see;E_126_150_see_se;E_151_175_se_sse;E_176_200_ss_s;E_201_225_s_ssw;E_226_250_ssw_sw;E_251_275_sw_wsw;E_276_300_wsw_w;E_301_325_w_wnw;E_326_350_wnw_nw;E_351_375_nw_nnww;E_376_400_nnw_n;HL_EW_0250;HL_EW_0300;HL_EW_0350;HL_EW_0400;HL_EW_0450;HL_EW_0500;HL_EW_0550;HL_EW_0600;HL_EW_0650;HL_EW_0700;HL_EW_0750;HL_EW_0800;HL_EW_0850;HL_EW_0900;HL_EW_0950;HL_EW_1000;HL_EW_1050;HL_EW_1100;HL_EW_1150;HL_EW_1200;HL_EW_1250;HL_EW_1300;HL_EW_1350;HL_EW_1400;HL_EW_1450;HL_EW_1500;HL_EW_1550;HL_EW_1600;HL_EW_1650;HL_EW_1700;HL_EW_1750;HL_EW_1800;HL_EW_1850;HL_EW_1900;HL_EW_1950;HL_EW_2000;HL_EW_2050;HL_EW_2100;HL_EW_2150;HL_EW_2200;HL_EW_2250;HL_EW_2300;HL_N_0250;HL_N_0300;HL_N_0350;HL_N_0400;HL_N_0450;HL_N_0500;HL_N_0550;HL_N_0600;HL_N_0650;HL_N_0700;HL_N_0750;HL_N_0800;HL_N_0850;HL_N_0900;HL_N_0950;HL_N_1000;HL_N_1050;HL_N_1100;HL_N_1150;HL_N_1200;HL_N_1250;HL_N_1300;HL_N_1350;HL_N_1400;HL_N_1450;HL_N_1500;HL_N_1550;HL_N_1600;HL_N_1650;HL_N_1700;HL_N_1750;HL_N_1800;HL_N_1850;HL_N_1900;HL_N_1950;HL_N_2000;HL_N_2050;HL_N_2100;HL_N_2150;HL_N_2200;HL_N_2250;HL_N_2300;HL_S_0250;HL_S_0300;HL_S_0350;HL_S_0400;HL_S_0450;HL_S_0500;HL_S_0550;HL_S_0600;HL_S_0650;HL_S_0700;HL_S_0750;HL_S_0800;HL_S_0850;HL_S_0900;HL_S_0950;HL_S_1000;HL_S_1050;HL_S_1100;HL_S_1150;HL_S_1200;HL_S_1250;HL_S_1300;HL_S_1350;HL_S_1400;HL_S_1450;HL_S_1500;HL_S_1550;HL_S_1600;HL_S_1650;HL_S_1700;HL_S_1750;HL_S_1800;HL_S_1850;HL_S_1900;HL_S_1950;HL_S_2000;HL_S_2050;HL_S_2100;HL_S_2150;HL_S_2200;HL_S_2250;HL_S_2300;HN_000_010;HN_010_025;HN_025_050;HN_050_075;HN_075_100;HN_100;HS_01b_01C_J;HS_01d_SM_J;HS_01e_UM_J;HS_01h_OM_J;HS_01i_HM_J;HS_02b_C_M;HS_02d_SM_M;HS_02e_UM_M;HS_02h_OM_M;HS_02i_HM_M;HS_03b_C_1;HS_03d_SM_1;HS_03e_UM_1;HS_03h_OM_1;HS_03i_HM_1;HS_03m_SA_1;HS_03n_OSA_1;HS_04b_C_2a;HS_04d_SM_2a;HS_04e_UM_2a;HS_04h_OM_2a;HS_04i_HM_2a;HS_04m_SA_2a;HS_04n_OSA_2a;HS_05b_C_2b;HS_05i_HM_2b;HS_05j_HM_2b_bis1000m;HS_05k_HM_2b_ab1000m;HS_05m_SA_2b;HS_05n_OSA_2b;HS_06i_HM_3;HS_06m_SA_3;HS_06n_OSA_3;HS_07b_C_4;HS_07i_HM_4;HS_07m_SA_4;HS_07n_OSA_4;HS_08a_HY_5a;HS_08b_C_5a;HS_08c_CB_5a;HS_08g_UMOM_5a;HS_08i_HM_5a;HS_08m_SA_5a;HS_08n_OSA_5a;HS_09a_HY_5b;HS_09c_CB_5b;HS_09g_UMOM_5b;HS_09m_SA_5b;HS_10a_HY_Me;HS_10c_CB_Me
18,00007;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;2;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18,014;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;2;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18,015;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18,1;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;2;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;2;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19,000003;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19,00006;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
19,0002;1;1;1;1;2;2;0;0;0;0;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0
19,00021;1;1;1;1;2;2;0;0;0;0;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
19,001;1;1;1;1;2;0;0;0;0;2;2;1;1;1;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
19,007;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20,000003;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20,00004;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;1;1;1;1;2;2;2;0;0;0;0;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;2;1;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21,00006;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
21,1;1;1;1;1;2;2;0;0;0;2;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;2;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;2;0;0
22;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;2;0;0;2;1;2;0;0;2;1;2;0;0;2;1;1;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22,000003;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22,00001;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;2;0;0;0;1;2;0;0;0;1;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22,00002;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22,1;1;1;2;2;0;0;0;0;0;0;0;0;2;2;1;1;0;0;0;0;2;1;1;1;1;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
23;0;0;0;2;2;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;2;2;0;0;0;2;2;0;0;0;1;1;2;0;0;0;0;1;1;2;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23,000003;0;0;0;2;2;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;2;2;0;0;0;1;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23,00016;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;0;0;0;0;0;0;0;0;0;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23,1;0;0;0;0;2;2;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0
24;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;2;0;0;0;0;2;2;0;0;0;1;2;0;0;0;0;0;1;2;0;0;0;1;1;1;0;0;0;0;0;0;1;2;0;0;0;0;1;1;0;0;0;0;1;0;0;0
24,1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;2;2;1;1;2;0;0;0;2;0;0;0;0;2;1;0;0;0;1;1;2;0;0;0;0;2;2;2;0;0;2;2;2;2;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0
24,100003;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
25;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;0;0;2;2;0;0;0;2;2;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
